"","Time","Time.Code","Country.Name","Country.Code","EG.CFT.ACCS.ZS","EN.ATM.CO2E.KD.GD","SL.AGR.EMPL.ZS","SL.AGR.EMPL.FE.ZS","SL.AGR.EMPL.MA.ZS","SL.SRV.EMPL.ZS","SL.SRV.EMPL.FE.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.MKTP.PP.CD","NY.GNP.PCAP.KD","NY.GNP.MKTP.PC.CD","NY.GNP.PCAP.PP.CD","NY.GNP.MKTP.PP.CD","IT.NET.USER.ZS","NV.IND.MANF.ZS","NV.IND.MANF.CD","SH.ANM.ALLW.ZS","SP.URB.TOTL","Happiness_score"
"119",2015,"YR2015","Lower middle income","LMC",47.37955289,0.771321629,41.03600086,46.21823779,38.75821439,37.50747777,39.29032564,1.97e+13,1.96e+13,2087.826732,2087.826732,6260.464618,1.94e+13,20.9458754,15.29768061,9.98e+11,41.55470312,1241640413,NA
"112",2015,"YR2015","Least developed countries: UN classification","LDC",13.98964271,0.302869562,57.95210677,63.96076574,53.5659149,29.68392144,27.67700261,2.66e+12,2.45e+12,1002.444666,1002.444666,2594.084661,2.44e+12,10.81946235,10.78361148,1.02e+11,38.95031844,301106292,NA
"141",2015,"YR2015","Nepal","NPL",29,0.265180175,66.93000031,76.29000092,55.20999908,18.94000053,15.59000015,90010625807,80942994654,914.4900231,914.4900231,3040,82086601884,17.58161801,5.356055555,1304777736,35.3,5013180,4.514
"45",2015,"YR2015","Cuba","CUB",92.65,0.315494703,18.64999962,8.090000153,25.34000015,64.23999786,80.94000244,NA,NA,7595.204744,7595.204744,NA,NA,37.30509742,14.90824372,1.299e+10,19.5,8708301,NA
"200",2015,"YR2015","Tunisia","TUN",99.7,0.687226612,14.75,9.609999657,16.43000031,52.13999939,57.11000061,1.24e+11,1.21e+11,3975.021918,3975.021918,10510,1.17e+11,46.49999434,14.01022023,6413896819,30.8,7608627,4.739
"106",2015,"YR2015","Lao PDR","LAO",5.7,0.601788313,65.58000183,67.73999786,63.49000168,23.43000031,23.93000031,44111931100,41582719416,2044.874468,2044.874468,5890,39733495399,18.2,8.190052195,1181528149,37.2,2231863,NA
"127",2015,"YR2015","Mauritania","MRT",43.1,0.478363565,32.97000122,24.64999962,36.65000153,49.18999863,57.54999924,20330521956,16995094117,1479.564863,1479.564863,4080,16498775891,17.6,7.43829556,458709568.1,44.2,2067216,4.436
"110",2015,"YR2015","Latin America & Caribbean (IDA & IBRD)","TLA",87.24785325,0.334979492,13.84584758,7.219431888,18.37171569,64.50788512,80.51685968,9.6e+12,9.06e+12,8277.711438,8277.711438,14583.62999,8.84e+12,54.62557158,15.48838424,7.96e+11,17.28944743,484313417,NA
"150",2015,"YR2015","OECD members","OED",97.90526499,0.25365167,5.174769789,3.340823231,6.612392879,72.01979966,85.06032074,5.6e+13,5.38e+13,35946.79545,35946.79545,40710.54199,5.43e+13,75.6871155,13.87134264,6.58e+12,12.81808029,1066089237,NA
"92",2015,"YR2015","Indonesia","IDN",67.1,0.57017783,33.04000092,32.61000061,33.31000137,44.91999817,51.63000107,2.62e+12,2.65e+12,3221.179519,3221.179519,9910,2.56e+12,22.0627426,20.98578743,1.81e+11,28.2,137751866,5.399
"4",2015,"YR2015","Angola","AGO",47.2,0.302598294,51.15999985,57.79999924,44.54000092,41.27999878,41.18999863,2.24e+11,2.05e+11,2968.861611,2968.861611,6960,1.94e+11,22,5.685144803,4958542934,45,17691524,4.033
"41",2015,"YR2015","Congo, Rep.","COG",25.4,0.289428818,34.34999847,34.16999817,34.52999878,42.97000122,43.16999817,25369698641,22531030874,2434.965685,2434.965685,4610,22406270880,7.615974662,7.903723169,939773169.4,51.1,3182829,NA
